LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-03-31 18:51:23,1900-01-00 00:00:00,,D0:FC:D0:C5:43:34,-43, ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:32,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:32,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:32,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:32,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:36,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:36,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:36,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:36,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:36,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:37,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-43, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-31 18:51:37,1900-01-00 00:00:00,ATT4rqWZdE,D0:FC:D0:C5:43:34,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
